Job title,Company,Location,Link,Posted on,Posted date,Seniority level,Employment type,Job function,Industries
"Product Specialist, Product and Sales Activation",Google,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/product-specialist-product-and-sales-activation-at-google-3979725790?position=14&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=MJt%2F0VwXuwyjNBiMXezMpA%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,30-08-2024,Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet"
"Media lead, Marketing",Google,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/media-lead-marketing-at-google-3991696164?position=15&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=%2FupOPCOWvJRqkRA8xx3kxQ%3D%3D&trk=public_jobs_jserp-result_search-card,5 days ago,27-08-2024,Mid-Senior level,Full-time,"Sales, Advertising, and Marketing","Information Services and Technology, Information and Internet"
Digital Marketing Strategist,Google,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/digital-marketing-strategist-at-google-3956427454?position=16&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=y4KoZnPQj2FGoyWGp2Po3g%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,24-08-2024,Not Applicable,Full-time,"Sales, General Business, and Customer Service","Information Services and Technology, Information and Internet"
"Software Engineer, Core",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-core-at-google-3965258279?position=17&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=pR44JF9T3XLP2CPev2M2NA%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,16-08-2024,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Internal Communications Specialist,Google,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/internal-communications-specialist-at-google-3995442393?position=18&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=7%2FJDLmZuder0sPkE0qJFZw%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,31-08-2024,Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet"
"Software Engineer, Core",Google,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-core-at-google-3816940621?position=19&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=B9zuXFRl5pPTQlBgquhvVQ%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,24-08-2024,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
"Embedded Software Engineer, University Graduate, 2025",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/embedded-software-engineer-university-graduate-2025-at-google-3989182741?position=20&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=kBklKEZU%2BVEsluu5WkTMVA%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,24-08-2024,,,,
"Software Engineer, Search",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-search-at-google-3994807577?position=21&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=r5hySInYPnFSzLaylTxjKg%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,30-08-2024,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
External Communications Manager,Google,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/external-communications-manager-at-google-3996904699?position=22&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=eZPJhe6FRNNsTNSHYqo9bQ%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,12-08-2024,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Digital Marketing Strategist,Google,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/digital-marketing-strategist-at-google-4005431950?position=23&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=FoPY%2F374fbD%2BticN%2FDfDqA%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,22-08-2024,Not Applicable,Full-time,"Sales, Advertising, and Marketing","Information Services and Technology, Information and Internet"
"Sales Specialist, Google Customer Solutions",Google,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/sales-specialist-google-customer-solutions-at-google-4011161193?position=24&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=7xTixnNaYwuArUoemUE3vQ%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,29-08-2024,Not Applicable,Full-time,"Sales, Advertising, and Customer Service","Information Services and Technology, Information and Internet"
"Logistics Operations Manager, Data Centers",Google,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/logistics-operations-manager-data-centers-at-google-3996435390?position=25&pageNum=0&refId=bOrNKYKcjMsWU6teRkT56w%3D%3D&trackingId=Nq8yb6Y5ep6xFmI5%2B8%2BA2w%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,12-08-2024,Not Applicable,Full-time,"Distribution, Supply Chain, and Manufacturing","Information Services and Technology, Information and Internet"
"Business Analyst, India Customer Service",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-india-customer-service-at-amazon-3961557061?position=1&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=x%2Fyf%2Fy5IrCuVA6xSlCw7fw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,"Research, Science, and Engineering",Software Development
"SBS -Assistant Brand Manager, India Consumables",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sbs-assistant-brand-manager-india-consumables-at-amazon-3998369403?position=2&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=4KW9R%2Fep%2Fax3Gdl4Yv7HXw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Purchasing, Supply Chain, and Information Technology",Software Development
"Sr. Category Manager, Private Brands",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-category-manager-private-brands-at-amazon-3998370513?position=3&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=IphDbeBny0aLImT5OEAG5w%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,Business Development and Information Technology,Software Development
Brand Specialist,Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/brand-specialist-at-amazon-3928361198?position=4&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=TVDrGpsz849eYCvP%2BbHLFQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,"Sales, Advertising, and Business Development",Software Development
"Advertising Strategic Manager, Amazon",Amazon,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/advertising-strategic-manager-amazon-at-amazon-3962166655?position=5&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=I174uPo%2BBildGlKTnwkA4w%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Sales, Advertising, and Business Development",Software Development
"Digital Content Associate, Editorial, Writing, & Content Management",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/digital-content-associate-editorial-writing-content-management-at-amazon-4014440199?position=6&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=hneskGUiKKaSolxhc94mLg%3D%3D&trk=public_jobs_jserp-result_search-card,22 hours ago,31-08-2024,,,,
"Sr. Administrator, Appeals",Amazon,"Karnataka, India",https://in.linkedin.com/jobs/view/sr-administrator-appeals-at-amazon-3928361185?position=7&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=5N8oslPuPNJSS8j6Np4jnw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,Human Resources and Information Technology,Software Development
Team Manager,Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/team-manager-at-amazon-3943870753?position=8&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=0AfAaJqAwE3nULjbPR%2BwwA%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Information Technology, Consulting, and Engineering",Software Development
"Associate Site Merchandiser, LA",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-site-merchandiser-la-at-amazon-3926245775?position=9&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=r0oyAiilw6YTp7KIOcZhLw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,Public Relations and Marketing,Software Development
Packaging Lab incharge,Amazon,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/packaging-lab-incharge-at-amazon-3961280087?position=10&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=71OlvnIZdCjS1c2dGtJIIg%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,"Management, Distribution, and Supply Chain",Software Development
"QA Team Manager, Print Quality Assurance",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/qa-team-manager-print-quality-assurance-at-amazon-3944152339?position=11&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=PNfTl0wsrMMn2vV5VzjZ3Q%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Project Management, Management, and Product Management",Software Development
"Account Manager Lead , Core AM",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/account-manager-lead-core-am-at-amazon-3998367736?position=12&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=niDD4q0wUzayXT8bvtAqTQ%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Sales, Advertising, and Business Development",Software Development
"Administrator, BXT",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/administrator-bxt-at-amazon-3998133902?position=13&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=Vp40UjjmlKHDSDiqyYk33w%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,Administrative,Software Development
"Last Mile Team leader , GSF Last Mile",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/last-mile-team-leader-gsf-last-mile-at-amazon-4014605288?position=14&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=Huuc2EOKAd%2FAfy3fZDOMtw%3D%3D&trk=public_jobs_jserp-result_search-card,16 hours ago,31-08-2024,,,,
"Manager Investigations, KYC",Amazon,"Karnataka, India",https://in.linkedin.com/jobs/view/manager-investigations-kyc-at-amazon-3926248669?position=15&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=wAWB%2Fc5cilwehN41v43I5w%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,Supply Chain and Manufacturing,Software Development
"Sr. L&D Business Partner, CS Leadership Development - WWCS Org",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/sr-l-d-business-partner-cs-leadership-development-wwcs-org-at-amazon-3926373166?position=16&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=f32MMcDvLt3OTjkYhUPRtw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,Training and Human Resources,Software Development
"Tax Analyst GST Tax Compliance, GST Tax Compliance Team",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/tax-analyst-gst-tax-compliance-gst-tax-compliance-team-at-amazon-3962165818?position=17&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=IAQ50NJvFL5CUCDC042QMg%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,"Finance, Information Technology, and Accounting/Auditing",Software Development
"Channel Team Lead, Sales Assistant III",Amazon,"Guwahati, Assam, India",https://in.linkedin.com/jobs/view/channel-team-lead-sales-assistant-iii-at-amazon-4014451147?position=18&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=EKcxLH95wnuC9Ge%2FpAnBRA%3D%3D&trk=public_jobs_jserp-result_search-card,22 hours ago,31-08-2024,Mid-Senior level,Full-time,"Distribution, Supply Chain, and Engineering",Software Development
"Associate - Retail Process, CMT",Amazon,"Karnataka, India",https://in.linkedin.com/jobs/view/associate-retail-process-cmt-at-amazon-3928077496?position=19&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=Rgqw3dOhsuSIgMKQDs0KUA%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,Writing/Editing,Software Development
"AI Content Writer, Alexa Data Services (ADS)",Amazon,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ai-content-writer-alexa-data-services-ads-at-amazon-4014653564?position=20&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=T1zSxSAtpOOGikUwkjx9Tg%3D%3D&trk=public_jobs_jserp-result_search-card,10 hours ago,01-09-2024,Not Applicable,Full-time,"Information Technology, Consulting, and Engineering",Software Development
"Sr. Product Manager- Technical, Central Shopping Experience",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-product-manager-technical-central-shopping-experience-at-amazon-3961276581?position=21&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=uMErR6m7hUBazrkBIIwrmw%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Project Management, Information Technology, and Product Management",Software Development
"Software Development Engineer, MENA Payments",Amazon,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/software-development-engineer-mena-payments-at-amazon-4014435904?position=22&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=xLfFtjl6jwsDy7O9hmNRbA%3D%3D&trk=public_jobs_jserp-result_search-card,22 hours ago,31-08-2024,Mid-Senior level,Full-time,"Information Technology, Consulting, and Engineering",Software Development
"Program Manager-I, Japan Transportation Systems",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/program-manager-i-japan-transportation-systems-at-amazon-3929003684?position=23&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=o%2FpTUfQT6sd3sOFPiOw3Gg%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"General Business, Management, and Strategy/Planning",Software Development
"PC Specialist, Global Payroll Quality Assurance (GPQA) Team - Payroll Controllership",Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/pc-specialist-global-payroll-quality-assurance-gpqa-team-payroll-controllership-at-amazon-3961733249?position=24&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=KwWC8%2FzSdV4gsrHvNww7nA%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Not Applicable,Full-time,"Finance, Information Technology, and Accounting/Auditing",Software Development
Software Development Manager,Amazon,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-development-manager-at-amazon-3929096370?position=25&pageNum=0&refId=UJDpXSJEpwddcUvciloHEQ%3D%3D&trackingId=%2B1PezthcOhp3aVsuue9Pew%3D%3D&trk=public_jobs_jserp-result_search-card,3 hours ago,01-09-2024,Mid-Senior level,Full-time,"Information Technology, Consulting, and Engineering",Software Development
